Property_Code,Parking
ag1033,1
ag907,
ag904,1
ag903,1
ag962,1
ag837,1
ag831,1
ag830,1
ag815,
ag644,1
ag661-2,
ag1148,
ag1018,1
ag1187,1
ag1218,1
ag563,1
ag277,1
ag615,1
ag901,1
ag337,1
ag472,
ag1182-1,1
ag1297,
ag1296,
ag1311,
ag1303,
ag1266,1
ag985,1
ag656,1
ag1349,
ag1354,
ag1367,
ag1373,
ag852,2
ag392,
ag487,1
ag1379,
ag1381,
ag654,1
ag658,1
ag659,1
ag664,1
ag665,1
ag668,1
ag669,1
ag671,1
ag1139,1
ag1242,1
ag974,
ag1355,1
ag1280,
ag1358,1
ag1240,1
ag1430,
ag1377,
ag1470,1
ag1108,1
ag284-1,1
ag443,1
ag277-1,1
ag1485,
ag1290,
ag1414,
ag192,1
ag1291,
ag638,1
ag1498,
ag1500,
ag1508,1
ag629,1
ag1422,
ag1521,
ag1454-1,1
ag1523,1
ag1530,
ag1357,
ag1540,
ag1314,
ag406,1
ag441,1
ag278,1
ag1565,1
ag532,1
ag147-1,1
ag179,1
ag1022,1
ag1015-1,1
ag1361,1
ag1576,
ag1580,1
ag1591,1
ag353,1
ag1598,1
ag667,1
ag1037,1
ag1604,1
ag1605,
ag1609,
ag1612,1
ag1613,1
ag1528,1
ag937-1,1
ag1615,
ag1270,
ag1616,
ag419-1,
ag1029,1
ag752,
ag918,1
ag600-1,1
ag1411-1,
ag1623,1
ag1384,1
ag1625,1
ag1569,
ag1626,1
ag1035,1
ag921,1
ag1631,
ag1632,
ag210,1
ag1636,
ag1021,1
ag540,
ag1014,1
ag825,1
ag348,1
ag824,1
ag1404,1
ag1049,
ag1648,1
ag1653,
ag1654,
ag1655,
ag976,
ag1175,1
ag418,1
ag1659,1
ag1660,
ag1661,1
ag1662,
ag1225,1
ag1668,1
ag1671,
ag239-1,1
ag1676,1
ag1679,
ag1454,
ag211-1,1
ag1681,
ag1674,1
ag696,1
ag694-1,1
ag1683,1
ag1684,
ag727-1,
ag1688,1
ag1689,1
ag1690,1
ag1526-1,
ag561,1
ag1691,
ag1695,
ag1682,
ag1028,1
ag512,1
ag1680,1
ag1699,
ag1702,1
ag1693,1
ag1705,
ag1708,1
ag947-1,1
ag1710,
ag234-1,1
ag1602,1
ag1712,1
ag1713,1
ag1714,
ag1526-2,1
ag310-1,
ag1642,1
ag1719,1
ag1574,
ag1721,2
ag1722,1
ag1723,1
ag697-3,
ag969,1
ag1080,
ag1267,1
ag1373,
ag1597,1
ag1724,1
ag310-2,
ag1511,
ag1356,
ag1696,
ag853-1,1
ag1345,
ag361-3,1
ag459-2,1
ag1725,1
ag819-2,1
ag308-1,1
ag150-1,1
ag956,1
ag770,1
ag1727,1
ag1378-1,1
ag1400,
ag793-1,1
ag378,1
ag1292,
ag760,1
ag425,1
ag307,1
ag1729,
ag1730,1
ag1731,1
ag1732,1
ag1735,1
ag1736,1
ag1737,1
ag1738,
ag303,yes
ag1701-1,1
ag407,1
ag1718,
ag1639-1,1
ag538,1
ag329-1,
ag140,
ag1711,
ag145,1
ag1129-1,1
ag1740,
ag1728,1
ag712,1
ag558,1
ag1742,1
ag1562,1
ag1429-1,1
ag1412,1
ag1744,1
ag1743,1
ag485-1,1
ag1745,1
ag1709,
ag1409,
ag1554,1
ag1746,
ag196,
ag1747,
ag1748,
ag1111,1
ag150-2,1
ag171-2,1
ag1749,1
ag1751,
ag1752,1
ag1750,
ag1715,1
ag470,
ag1753,1
